iter	Passed	Remaining
0	142	142593
1	143	71720
2	144	48046
3	145	36222
4	146	29100
5	146	24338
6	147	20932
7	148	18392
8	149	16407
9	149	14815
10	150	13510
11	150	12423
12	151	11500
13	152	10710
14	152	10028
15	153	9436
16	154	8909
17	154	8437
18	155	8012
19	155	7638
20	156	7297
21	157	6989
22	157	6705
23	158	6446
24	159	6205
25	159	5984
26	160	5782
27	161	5603
28	162	5426
29	162	5262
30	163	5109
31	164	4962
32	164	4824
33	165	4694
34	165	4571
35	166	4463
36	167	4356
37	168	4256
38	168	4158
39	169	4063
40	169	3974
41	171	3903
42	171	3823
43	172	3745
44	172	3669
45	173	3597
46	173	3527
47	174	3463
48	175	3400
49	175	3339
50	176	3280
51	176	3224
52	177	3169
53	177	3116
54	178	3067
55	179	3027
56	180	2985
57	181	2941
58	181	2897
59	182	2859
60	183	2827
61	184	2788
62	185	2754
63	186	2721
64	186	2687
65	187	2658
66	188	2624
67	188	2588
68	189	2560
69	190	2528
70	190	2497
71	191	2469
72	192	2446
73	193	2420
74	194	2396
75	196	2383
76	196	2359
77	197	2334
78	198	2309
79	198	2284
80	199	2260
81	199	2236
82	200	2212
83	201	2191
84	201	2168
85	202	2146
86	202	2124
87	203	2103
88	203	2084
89	204	2068
90	205	2052
91	206	2035
92	206	2017
93	207	2000
94	208	1986
95	209	1970
96	209	1953
97	210	1937
98	211	1920
99	211	1904
100	212	1888
101	212	1872
102	213	1858
103	213	1843
104	214	1828
105	215	1814
106	215	1799
107	216	1785
108	217	1775
109	218	1763
110	218	1751
111	219	1738
112	219	1725
113	220	1717
114	221	1705
115	222	1692
116	222	1680
117	223	1668
118	223	1656
119	224	1645
120	224	1633
121	225	1622
122	225	1609
123	226	1598
124	226	1587
125	227	1578
126	228	1568
127	228	1557
128	229	1549
129	230	1540
130	230	1531
131	231	1521
132	232	1513
133	233	1506
134	233	1498
135	234	1489
136	235	1480
137	235	1471
138	236	1463
139	236	1454
140	237	1445
141	237	1436
142	238	1428
143	238	1420
144	239	1412
145	240	1404
146	240	1396
147	241	1389
148	242	1382
149	242	1375
150	243	1369
151	244	1363
152	244	1356
153	245	1349
154	246	1344
155	247	1337
156	247	1330
157	248	1324
158	248	1316
159	249	1310
160	250	1303
161	250	1296
162	251	1290
163	251	1283
164	252	1277
165	252	1270
166	253	1264
167	253	1257
168	255	1254
169	255	1248
170	256	1243
171	257	1237
172	257	1232
173	258	1229
174	259	1223
175	260	1218
176	260	1212
177	261	1207
178	262	1202
179	262	1196
180	263	1190
181	263	1184
182	264	1178
183	264	1173
184	265	1168
185	265	1163
186	266	1158
187	266	1152
188	267	1149
189	268	1144
190	269	1139
191	269	1135
192	270	1131
193	271	1127
194	271	1122
195	272	1117
196	273	1113
197	273	1109
198	274	1104
199	274	1099
200	275	1095
201	276	1090
202	276	1085
203	277	1081
204	277	1077
205	278	1073
206	278	1068
207	279	1065
208	280	1061
209	281	1058
210	281	1054
211	282	1050
212	283	1047
213	284	1043
214	285	1040
215	285	1036
216	286	1032
217	286	1028
218	287	1024
219	287	1020
220	288	1016
221	288	1012
222	289	1007
223	289	1004
224	290	1000
225	290	996
226	291	992
227	292	989
228	292	986
229	293	982
230	294	979
231	294	975
232	295	972
233	296	969
234	297	966
235	297	963
236	298	959
237	298	956
238	299	952
239	299	949
240	300	945
241	300	942
242	301	939
243	302	935
244	302	932
245	303	929
246	303	925
247	304	922
248	305	919
249	305	916
250	306	913
251	306	910
252	307	907
253	308	905
254	309	902
255	309	900
256	310	897
257	310	893
258	311	890
259	311	887
260	312	885
261	313	881
262	313	879
263	314	876
264	314	873
265	315	870
266	316	867
267	317	865
268	317	863
269	318	860
270	318	857
271	319	855
272	320	854
273	321	851
274	321	848
275	322	846
276	323	843
277	323	840
278	324	838
279	324	835
280	325	832
281	325	830
282	326	827
283	327	824
284	327	822
285	328	819
286	328	816
287	329	815
288	330	813
289	331	810
290	331	808
291	332	806
292	333	804
293	333	801
294	334	799
295	335	797
296	335	794
297	336	792
298	336	789
299	337	787
300	337	784
301	338	782
302	338	779
303	339	777
304	340	774
305	340	772
306	341	770
307	341	767
308	342	765
309	343	763
310	343	761
311	344	759
312	345	757
313	345	755
314	346	753
315	347	751
316	347	749
317	348	746
318	348	744
319	349	742
320	349	740
321	350	737
322	351	735
323	351	733
324	352	731
325	352	729
326	353	727
327	353	725
328	354	723
329	355	721
330	356	719
331	356	718
332	357	715
333	358	714
334	359	713
335	359	711
336	360	709
337	361	707
338	361	705
339	362	703
340	362	701
341	363	699
342	363	697
343	364	695
344	364	692
345	365	690
346	366	688
347	367	687
348	367	686
349	368	684
350	368	682
351	369	680
352	370	678
353	370	676
354	371	674
355	372	672
356	372	671
357	373	669
358	373	667
359	374	665
360	374	663
361	375	661
362	375	659
363	376	657
364	376	655
365	377	653
366	378	652
367	378	650
368	379	649
369	380	647
370	380	645
371	381	644
372	382	642
373	383	641
374	383	639
375	384	637
376	384	636
377	385	634
378	386	632
379	386	630
380	387	629
381	387	627
382	388	625
383	388	623
384	389	622
385	390	621
386	391	619
387	392	618
388	393	617
389	393	615
390	394	614
391	395	613
392	396	612
393	397	610
394	397	609
395	398	607
396	398	605
397	399	604
398	399	602
399	400	600
400	401	599
401	401	597
402	402	596
403	402	594
404	404	593
405	404	592
406	405	590
407	406	589
408	406	587
409	407	586
410	408	585
411	408	583
412	409	582
413	410	580
414	410	578
415	411	577
416	411	575
417	412	574
418	412	572
419	413	570
420	413	569
421	414	567
422	414	566
423	415	564
424	416	563
425	417	562
426	418	560
427	418	559
428	419	558
429	420	557
430	421	556
431	421	554
432	422	553
433	422	551
434	423	550
435	424	549
436	425	547
437	426	546
438	426	545
439	427	544
440	428	543
441	429	541
442	429	540
443	430	539
444	431	537
445	432	536
446	432	535
447	433	534
448	434	532
449	434	531
450	435	530
451	435	528
452	436	527
453	437	525
454	437	524
455	438	522
456	438	521
457	439	519
458	439	518
459	440	516
460	441	515
461	441	514
462	442	513
463	443	511
464	443	510
465	444	509
466	445	507
467	445	506
468	446	505
469	446	503
470	447	502
471	447	501
472	448	499
473	449	498
474	449	496
475	450	495
476	450	494
477	451	492
478	451	491
479	452	490
480	452	488
481	453	487
482	454	486
483	455	485
484	455	483
